compound,organism,health_effect
carbohydrates,Momordica charantia,diabetes
alkaloids,Dioscorea batatas,broodsize
Alkamides,Citrullus lanatus,cancer
allantoin,Citrullus colocynthis,death
Amines,Cucumis sativus,disease
anthocyanins,Arabidopsis thaliana,fertility
antioxidant,Caenorhabditis elegans,healthspan
Atropine,Cucurbita,hypoglycenic coma
caffeine,cucurbitaceae,immunity
carnitine,homo sapiens,inflammation
Carotenoids,Dioscorea polystachya,lifespan
cholesterol,Dioscoreaceae,menopause
choline,Dioscorea,miscarriage
coenzyme,Momordica,nausea
coumarins,Citrullus,neurodegeneration
creatine,Teucrium,obesity
Cyanogenic glycosides,Dillenia,osteoporosis
dithiolthiones,Lamiaceae,reproduction
fatty acids,Liliaceae,stress
flavonoids,Leguminoseae,toxic
glucosinolates,Asteraceae,vomiting
Gossypol,Moraceae,spasmodic
insulin,Rosaceae,
Lectins,Araliaceae,
lignans,,
lignins,,
NPAAs,,
Phenylpropanoids,,
Phytic acid,,
phytoestrogens,,
phytosterols,,
Polyacetylenes,,
Polyketides,,
Polypeptide-p,,
polyphenols,,
polysaccharides,,
prebiotics,,
saponins,,
Steroids,,
Tannins,,
taurine,,
triglyceride,,
Terpenes,,
terpenoids,,
waxes,,
β sitosterol,,
stigmasterol,,
quercetin,,
roseoside,,
epigallocatechin,,
gallate,,
beta-pyrazol-1-ylalanine,,
cinchonain Ib,,
leucocyandin 3-O-beta-d-galactosyl cellobioside,,
leucopelargonidin-3-O-alpha-L rhamnoside,,
glycyrrhetinic acid,,
dehydrotrametenolic acid,,
strictinin,,
isostrictinin,,
pedunculagin,,
epicatechin,,
christinin-A,,
